Measurement Count,IMU_MODE,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,ROLL,PITCH,HEADING
1,0,-0.33900000,-0.15000000,0.93200000,-0.01000000,0.02000000,-0.32000000,-0.00001006,0.00002012,-0.00032199,-9.10000000,19.77000000,0.03000000
2,0,-0.33600000,-0.15000000,0.93100000,0.16000000,0.02000000,0.13000000,0.00015776,0.00004110,-0.00018564,-8.94000000,19.78000000,0.09000000
3,0,-0.33100000,-0.14700000,0.92600000,0.01000000,-0.18000000,-0.10000000,0.00016807,-0.00014435,-0.00028867,-8.98000000,19.73000000,0.07000000
4,0,-0.33800000,-0.14500000,0.92700000,-0.00000000,0.50000000,-0.17000000,0.00016807,0.00035530,-0.00045855,-8.96000000,19.73000000,0.08000000
5,0,-0.33500000,-0.14700000,0.92700000,0.02000000,0.09000000,-0.05000000,0.00018800,0.00044501,-0.00050838,-8.99000000,19.68000000,0.07000000
6,0,-0.34000000,-0.14800000,0.93100000,0.27000000,-0.15000000,-0.16000000,0.00046084,0.00029343,-0.00067007,-9.00000000,19.67000000,0.06000000
7,0,-0.33600000,-0.14400000,0.92300000,0.02000000,-0.28000000,-0.02000000,0.00048137,0.00000601,-0.00069060,-9.00000000,19.67000000,0.06000000
8,0,-0.33800000,-0.15000000,0.93100000,0.11000000,-0.09000000,-0.20000000,0.00059156,-0.00008414,-0.00089094,-9.01000000,19.67000000,0.06000000
9,0,-0.33600000,-0.14700000,0.93100000,-0.14000000,0.20000000,0.09000000,0.00045212,0.00011505,-0.00080130,-9.00000000,19.67000000,0.06000000
10,0,-0.33300000,-0.15200000,0.93100000,-0.13000000,0.01000000,0.06000000,0.00032305,0.00012498,-0.00074173,-9.00000000,19.67000000,0.06000000
11,0,-0.33400000,-0.14500000,0.93300000,0.12000000,-0.03000000,-0.03000000,0.00044431,0.00009467,-0.00077204,-9.01000000,19.67000000,0.06000000
12,0,-0.33800000,-0.15000000,0.92900000,-0.18000000,-0.20000000,0.17000000,0.00025855,-0.00011173,-0.00059661,-9.01000000,19.67000000,0.06000000
13,0,-0.33500000,-0.14600000,0.93200000,-0.05000000,-0.15000000,0.10000000,0.00020677,-0.00026706,-0.00049305,-9.01000000,19.67000000,0.06000000
14,0,-0.33600000,-0.14700000,0.93200000,0.09000000,-0.08000000,-0.05000000,0.00029725,-0.00034749,-0.00054331,-9.00000000,19.66000000,0.06000000
15,0,-0.33700000,-0.15100000,0.92800000,0.12000000,-0.10000000,-0.10000000,0.00042323,-0.00045247,-0.00064830,-9.00000000,19.66000000,0.06000000
16,0,-0.33600000,-0.14800000,0.93400000,-0.08000000,-0.25000000,0.13000000,0.00034209,-0.00070605,-0.00051644,-9.00000000,19.67000000,0.06000000
17,0,-0.33200000,-0.15300000,0.93400000,0.23000000,0.06000000,0.09000000,0.00057363,-0.00064565,-0.00042583,-9.00000000,19.67000000,0.06000000
18,0,-0.33900000,-0.15100000,0.92900000,0.11000000,-0.00000000,0.21000000,0.00068528,-0.00064565,-0.00021267,-9.01000000,19.67000000,0.06000000
19,0,-0.33400000,-0.14900000,0.92700000,0.12000000,-0.11000000,0.00000000,0.00080669,-0.00075694,-0.00021267,-9.02000000,19.67000000,0.06000000
20,0,-0.33300000,-0.14600000,0.93000000,0.05000000,-0.14000000,-0.03000000,0.00085735,-0.00089878,-0.00024307,-9.02000000,19.66000000,0.06000000
21,0,-0.33900000,-0.14900000,0.93000000,0.03000000,-0.27000000,-0.13000000,0.00088688,-0.00116460,-0.00037106,-9.02000000,19.66000000,0.05000000
22,0,-0.33400000,-0.14800000,0.93200000,0.11000000,0.02000000,-0.06000000,0.00099699,-0.00114459,-0.00043112,-9.03000000,19.65000000,0.05000000
23,0,-0.34400000,-0.14800000,0.92600000,0.03000000,-0.10000000,-0.03000000,0.00102699,-0.00124459,-0.00046112,-9.03000000,19.65000000,0.05000000
24,0,-0.33900000,-0.14600000,0.93300000,-0.03000000,0.04000000,-0.02000000,0.00099611,-0.00120341,-0.00048170,-9.03000000,19.65000000,0.05000000
25,0,-0.33400000,-0.14700000,0.92700000,0.08000000,-0.04000000,0.09000000,0.00107863,-0.00124467,-0.00038887,-9.03000000,19.65000000,0.05000000
26,0,-0.33700000,-0.15200000,0.93300000,0.05000000,0.01000000,-0.27000000,0.00112928,-0.00123454,-0.00066235,-9.03000000,19.66000000,0.05000000
27,0,-0.33600000,-0.14600000,0.93400000,0.06000000,0.20000000,-0.05000000,0.00118998,-0.00103220,-0.00071294,-9.03000000,19.65000000,0.05000000
28,0,-0.33900000,-0.14800000,0.93400000,0.01000000,0.15000000,0.13000000,0.00137811,0.00178982,0.00173281,-9.03000000,19.66000000,0.05000000
29,0,-0.33800000,-0.14500000,0.93100000,0.28000000,0.24000000,-0.12000000,0.00169991,0.00206565,0.00159490,-9.03000000,19.66000000,0.05000000
30,0,-0.33400000,-0.14700000,0.93100000,0.10000000,0.30000000,0.04000000,0.00180542,0.00238218,0.00163710,-9.03000000,19.66000000,0.05000000
31,0,-0.33900000,-0.15100000,0.93000000,0.14000000,-0.11000000,0.15000000,0.00196786,0.00225455,0.00181114,-9.03000000,19.66000000,0.05000000
32,0,-0.33100000,-0.15000000,0.93000000,0.35000000,0.10000000,0.04000000,0.00232438,0.00235641,0.00185189,-9.03000000,19.65000000,0.05000000
33,0,-0.33700000,-0.14900000,0.93200000,0.13000000,0.06000000,0.04000000,0.00245627,0.00241729,0.00189247,-9.03000000,19.66000000,0.05000000
34,0,-0.34100000,-0.14400000,0.92900000,0.13000000,-0.02000000,0.08000000,0.00960558,0.00131739,0.00629204,-9.03000000,19.66000000,0.05000000
35,0,-0.33500000,-0.14700000,0.93200000,-0.03000000,0.04000000,0.02000000,0.00957426,0.00135915,0.00631292,-9.03000000,19.66000000,0.05000000
36,0,-0.33600000,-0.15100000,0.92900000,-0.14000000,-0.13000000,-0.08000000,0.00942585,0.00122134,0.00622811,-9.03000000,19.66000000,0.05000000
37,0,-0.33600000,-0.14800000,0.92900000,0.14000000,0.08000000,0.39000000,0.00958665,0.00131322,0.00667605,-9.03000000,19.66000000,0.05000000
38,0,-0.33500000,-0.14300000,0.93200000,0.19000000,0.16000000,-0.02000000,0.00977779,0.00147418,0.00665593,-9.03000000,19.66000000,0.05000000
39,0,-0.33600000,-0.15000000,0.92700000,0.10000000,-0.19000000,-0.02000000,0.00987800,0.00128377,0.00663589,-9.04000000,19.66000000,0.04000000
40,0,-0.33200000,-0.14300000,0.93500000,0.15000000,0.14000000,0.02000000,0.01817363,0.00902635,0.00774197,-9.04000000,19.66000000,0.04000000
41,0,-0.33400000,-0.14900000,0.92400000,0.16000000,0.04000000,0.03000000,0.01834038,0.00906804,0.00777324,-9.04000000,19.66000000,0.04000000
42,0,-0.33500000,-0.15500000,0.93100000,0.06000000,-0.10000000,-0.23000000,0.01840014,0.00896844,0.00754417,-9.04000000,19.66000000,0.04000000
43,0,-0.33400000,-0.15300000,0.93000000,-0.25000000,-0.07000000,0.09000000,0.01814805,0.00889785,0.00763492,-9.04000000,19.66000000,0.04000000
44,0,-0.33500000,-0.14700000,0.92900000,0.19000000,0.12000000,-0.19000000,0.01833742,0.00901746,0.00744555,-9.05000000,19.66000000,0.04000000
45,0,-0.34000000,-0.14700000,0.92700000,0.04000000,0.21000000,-0.13000000,0.01837831,0.00923212,0.00731266,-9.05000000,19.66000000,0.04000000
46,0,-0.33500000,-0.14700000,0.92500000,-0.08000000,-0.07000000,-0.20000000,0.01385950,0.00527816,-0.00398435,-9.05000000,19.66000000,0.04000000
47,0,-0.33500000,-0.14600000,0.93000000,-0.08000000,0.02000000,0.07000000,0.01377651,0.00529891,-0.00391172,-9.05000000,19.66000000,0.03000000
48,0,-0.33000000,-0.14700000,0.93200000,0.21000000,-0.10000000,-0.15000000,0.01398967,0.00519741,-0.00406398,-9.05000000,19.66000000,0.03000000
49,0,-0.33600000,-0.15500000,0.92800000,-0.01000000,-0.25000000,-0.22000000,0.01397970,0.00494830,-0.00428320,-9.06000000,19.66000000,0.03000000
50,0,-0.33600000,-0.15100000,0.92900000,-0.08000000,-0.08000000,0.18000000,0.01390054,0.00486913,-0.00410508,-9.06000000,19.66000000,0.03000000
51,0,-0.33600000,-0.15000000,0.93200000,-0.14000000,0.10000000,0.04000000,0.01375059,0.00497624,-0.00406224,-9.05000000,19.66000000,0.03000000
52,0,-0.33600000,-0.14900000,0.92700000,-0.02000000,0.04000000,0.18000000,0.01264043,0.00719656,0.00592920,-9.05000000,19.66000000,0.03000000
53,0,-0.33500000,-0.14400000,0.92600000,-0.17000000,-0.15000000,-0.07000000,0.01246045,0.00703776,0.00585509,-9.06000000,19.66000000,0.03000000
54,0,-0.33500000,-0.14700000,0.92700000,-0.03000000,-0.14000000,-0.17000000,0.01242972,0.00689435,0.00568095,-9.06000000,19.66000000,0.03000000
55,0,-0.33800000,-0.14900000,0.92700000,0.02000000,-0.11000000,-0.02000000,0.01244973,0.00678429,0.00566094,-9.06000000,19.66000000,0.03000000
56,0,-0.33300000,-0.15100000,0.92900000,-0.04000000,0.20000000,-0.13000000,0.01241011,0.00698239,0.00553218,-9.06000000,19.66000000,0.03000000
57,0,-0.33900000,-0.14900000,0.92900000,0.15000000,-0.07000000,0.21000000,0.01255894,0.00691294,0.00574053,-9.06000000,19.66000000,0.03000000
58,0,-0.33800000,-0.15300000,0.92900000,-0.12000000,-0.04000000,-0.19000000,0.00554573,0.00457520,-0.00536372,-9.07000000,19.66000000,0.03000000
59,0,-0.33700000,-0.14900000,0.92800000,-0.08000000,0.04000000,0.02000000,0.00546079,0.00461768,-0.00534248,-9.07000000,19.66000000,0.03000000
60,0,-0.33800000,-0.14700000,0.92700000,-0.02000000,-0.15000000,-0.03000000,0.00544058,0.00446617,-0.00537278,-9.07000000,19.66000000,0.03000000
61,0,-0.34000000,-0.15000000,0.93000000,-0.05000000,-0.19000000,-0.08000000,0.00538789,0.00426593,-0.00545710,-9.07000000,19.66000000,0.03000000
62,0,-0.33700000,-0.14500000,0.93100000,0.09000000,0.12000000,0.06000000,0.00548167,0.00439096,-0.00539458,-9.06000000,19.66000000,0.03000000
63,0,-0.33100000,-0.14800000,0.93300000,0.21000000,0.28000000,0.00000000,0.00570014,0.00468226,-0.00539458,-9.07000000,19.66000000,0.03000000
64,0,-0.33500000,-0.15000000,0.92900000,-0.02000000,0.21000000,0.09000000,0.00567931,0.00490092,-0.00530086,-9.07000000,19.66000000,0.03000000
65,0,-0.34000000,-0.14800000,0.93000000,-0.15000000,-0.04000000,-0.07000000,-0.00276283,0.00264969,-0.00924053,-9.07000000,19.66000000,0.03000000
66,0,-0.33500000,-0.14800000,0.92900000,-0.24000000,0.03000000,-0.17000000,-0.00301583,0.00268131,-0.00941973,-9.07000000,19.66000000,0.03000000
67,0,-0.33300000,-0.14900000,0.93100000,0.08000000,-0.11000000,-0.10000000,-0.00293569,0.00257112,-0.00951990,-9.07000000,19.66000000,0.03000000
68,0,-0.33600000,-0.14900000,0.92500000,0.18000000,0.23000000,-0.12000000,-0.00275796,0.00279822,-0.00963839,-9.07000000,19.66000000,0.03000000
69,0,-0.33400000,-0.15300000,0.92700000,0.01000000,0.17000000,0.13000000,-0.00274810,0.00296588,-0.00951018,-9.07000000,19.66000000,0.03000000
70,0,-0.33600000,-0.14600000,0.92900000,0.00000000,0.07000000,-0.28000000,-0.00274810,0.00303516,-0.00978732,-9.07000000,19.65000000,0.03000000
71,0,-0.33800000,-0.14600000,0.92600000,-0.09000000,0.15000000,0.15000000,-0.00774998,0.01137163,-0.00145086,-9.06000000,19.65000000,0.03000000
