Measurement Count,IMU_MODE,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,ROLL,PITCH,HEADING
1,0,0.68500000,-0.02900000,0.72700000,-0.45000000,0.21000000,0.00000000,-0.00044701,0.00020860,0.00000000,-2.29000000,-43.20000000,0.02000000
2,0,0.68600000,-0.03000000,0.72700000,-0.15000000,0.07000000,0.10000000,-0.00060202,0.00028094,0.00010334,-2.32000000,-43.25000000,0.04000000
3,0,0.69100000,-0.02600000,0.72900000,0.18000000,0.01000000,-0.02000000,-0.00042051,0.00029103,0.00008317,-2.31000000,-43.32000000,0.03000000
4,0,0.68400000,-0.03000000,0.72800000,-0.35000000,-0.11000000,0.07000000,-0.00076669,0.00018223,0.00015241,-2.41000000,-43.32000000,0.10000000
5,0,0.68500000,-0.03100000,0.72600000,0.06000000,-0.15000000,0.10000000,-0.00070284,0.00002261,0.00025882,-2.37000000,-43.37000000,0.07000000
6,0,0.68700000,-0.03300000,0.72700000,-0.24000000,-0.10000000,-0.15000000,-0.00094290,-0.00007742,0.00010878,-2.38000000,-43.37000000,0.08000000
7,0,0.68600000,-0.03000000,0.72700000,-0.09000000,-0.00000000,-0.03000000,-0.00103187,-0.00007742,0.00007913,-2.38000000,-43.37000000,0.08000000
8,0,0.68500000,-0.02900000,0.72600000,0.33000000,0.09000000,0.22000000,-0.00069399,0.00001473,0.00030438,-2.38000000,-43.37000000,0.08000000
9,0,0.68400000,-0.02700000,0.72200000,-0.18000000,0.08000000,-0.21000000,-0.00087765,0.00009635,0.00009012,-2.37000000,-43.37000000,0.07000000
10,0,0.68500000,-0.02900000,0.72300000,0.08000000,-0.07000000,-0.05000000,-0.00079658,0.00002541,0.00003945,-2.38000000,-43.37000000,0.08000000
11,0,0.68600000,-0.02700000,0.72900000,-0.32000000,-0.14000000,-0.09000000,-0.00111605,-0.00011436,-0.00005041,-2.38000000,-43.36000000,0.08000000
12,0,0.68500000,-0.02700000,0.72400000,-0.20000000,0.12000000,-0.10000000,-0.00132078,0.00000848,-0.00015277,-2.37000000,-43.37000000,0.07000000
13,0,0.68700000,-0.02700000,0.72300000,-0.05000000,-0.21000000,-0.10000000,-0.00137278,-0.00020994,-0.00025678,-2.38000000,-43.37000000,0.07000000
14,0,0.68800000,-0.02700000,0.72200000,0.07000000,0.16000000,-0.01000000,-0.00129302,-0.00002762,-0.00026817,-2.36000000,-43.37000000,0.06000000
15,0,0.69000000,-0.02400000,0.71900000,-0.12000000,-0.00000000,0.03000000,-0.00142212,-0.00002762,-0.00023590,-2.36000000,-43.39000000,0.06000000
16,0,0.69100000,-0.03000000,0.72900000,0.09000000,0.03000000,-0.26000000,-0.00131015,0.00000971,-0.00055938,-2.33000000,-43.38000000,0.04000000
17,0,0.68700000,-0.03500000,0.73000000,0.05000000,0.16000000,0.01000000,-0.00125346,0.00019111,-0.00054804,-2.33000000,-43.39000000,0.04000000
18,0,0.69100000,-0.03000000,0.72700000,-0.03000000,-0.12000000,-0.16000000,-0.00129096,0.00004110,-0.00074806,-2.33000000,-43.39000000,0.04000000
19,0,0.68800000,-0.02900000,0.72800000,-0.13000000,-0.03000000,0.13000000,-0.00144300,0.00000601,-0.00059602,-2.32000000,-43.39000000,0.03000000
20,0,0.68800000,-0.02700000,0.72400000,0.05000000,0.16000000,-0.30000000,-0.00138866,0.00017990,-0.00092207,-2.31000000,-43.39000000,0.03000000
21,0,0.69500000,-0.03100000,0.72700000,0.19000000,0.08000000,0.03000000,-0.00119797,0.00026019,-0.00089196,-2.30000000,-43.40000000,0.02000000
22,0,0.68400000,-0.03300000,0.72100000,0.10000000,-0.21000000,-0.11000000,-0.00109161,0.00003681,-0.00100897,-2.30000000,-43.40000000,0.02000000
23,0,0.68900000,-0.03100000,0.73000000,-0.03000000,0.02000000,0.08000000,-0.00112250,0.00005741,-0.00092658,-2.30000000,-43.40000000,0.02000000
24,0,0.68500000,-0.03200000,0.72700000,0.10000000,0.26000000,-0.14000000,-0.00102221,0.00031816,-0.00106698,-2.31000000,-43.39000000,0.03000000
25,0,0.68500000,-0.03200000,0.72300000,-0.04000000,0.03000000,-0.06000000,-0.00106254,0.00034841,-0.00112747,-2.31000000,-43.39000000,0.03000000
26,0,0.68700000,-0.03300000,0.72600000,0.11000000,-0.00000000,0.01000000,-0.00094708,0.00034841,-0.00111698,-2.32000000,-43.39000000,0.03000000
27,0,0.69000000,-0.02900000,0.72900000,-0.14000000,-0.09000000,0.09000000,-0.00110744,0.00024532,-0.00101388,-2.32000000,-43.39000000,0.04000000
28,0,0.68600000,-0.03000000,0.72700000,0.06000000,0.04000000,-0.05000000,-0.00002051,0.00096994,-0.00191966,-2.33000000,-43.38000000,0.04000000
29,0,0.68300000,-0.02800000,0.72500000,-0.19000000,-0.14000000,-0.02000000,-0.00033314,0.00073958,-0.00195257,-2.33000000,-43.38000000,0.04000000
30,0,0.69200000,-0.03200000,0.72900000,-0.01000000,-0.03000000,-0.17000000,-0.00034780,0.00069560,-0.00220178,-2.33000000,-43.39000000,0.04000000
31,0,0.68600000,-0.03200000,0.72300000,0.11000000,0.10000000,0.07000000,-0.00020905,0.00082174,-0.00211348,-2.33000000,-43.38000000,0.04000000
32,0,0.69000000,-0.03100000,0.72800000,-0.08000000,0.10000000,-0.29000000,-0.00029638,0.00093090,-0.00243004,-2.33000000,-43.38000000,0.04000000
33,0,0.69000000,-0.03000000,0.72400000,-0.08000000,0.12000000,0.17000000,-0.00038738,0.00106741,-0.00223665,-2.33000000,-43.38000000,0.04000000
34,0,0.68300000,-0.03000000,0.72500000,-0.00000000,0.25000000,0.09000000,-0.00038738,0.00136015,-0.00213126,-2.33000000,-43.38000000,0.04000000
35,0,0.68500000,-0.02800000,0.72800000,0.03000000,-0.13000000,0.15000000,0.00123818,-0.00568396,0.00599656,-2.33000000,-43.37000000,0.04000000
36,0,0.68400000,-0.03400000,0.72100000,-0.23000000,0.17000000,0.36000000,0.00100000,-0.00550792,0.00636936,-2.33000000,-43.37000000,0.04000000
37,0,0.68500000,-0.03100000,0.72400000,0.23000000,-0.07000000,-0.17000000,0.00124213,-0.00558161,0.00619040,-2.33000000,-43.37000000,0.04000000
38,0,0.68900000,-0.03000000,0.72400000,-0.13000000,0.03000000,-0.08000000,0.00109731,-0.00554819,0.00610128,-2.33000000,-43.37000000,0.04000000
39,0,0.68700000,-0.02500000,0.72200000,-0.02000000,0.08000000,0.14000000,0.00107634,-0.00546430,0.00624809,-2.33000000,-43.38000000,0.04000000
40,0,0.69000000,-0.02900000,0.72200000,0.20000000,-0.05000000,-0.19000000,0.00127968,-0.00551513,0.00605492,-2.33000000,-43.38000000,0.04000000
41,0,0.68800000,-0.02600000,0.72600000,-0.08000000,-0.25000000,0.01000000,-0.00314337,-0.01933718,0.00660780,-2.33000000,-43.38000000,0.05000000
42,0,0.68600000,-0.03300000,0.72300000,0.11000000,0.24000000,-0.45000000,-0.00302752,-0.01908441,0.00613386,-2.33000000,-43.38000000,0.05000000
43,0,0.68000000,-0.02800000,0.72400000,-0.28000000,0.24000000,-0.16000000,-0.00330753,-0.01884440,0.00597385,-2.34000000,-43.38000000,0.05000000
44,0,0.68800000,-0.03500000,0.72800000,-0.06000000,0.01000000,0.04000000,-0.00336720,-0.01883446,0.00601364,-2.35000000,-43.38000000,0.06000000
45,0,0.68700000,-0.03000000,0.72400000,0.23000000,-0.01000000,0.01000000,-0.00313797,-0.01884442,0.00602360,-2.35000000,-43.38000000,0.06000000
