Measurement Count,IMU_MODE,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,ROLL,PITCH,HEADING
1,0,0.11200000,-0.40000000,0.90800000,-0.19000000,-0.13000000,0.02000000,-0.05764911,-0.03944413,0.00606833,-23.71000000,-6.32000000,0.00000000
2,0,0.11200000,-0.40600000,0.90800000,0.32000000,-0.13000000,-0.09000000,-0.05731964,-0.03957797,0.00597566,-24.02000000,-6.33000000,0.04000000
3,0,0.11300000,-0.40500000,0.90700000,0.07000000,0.15000000,-0.01000000,-0.05724970,-0.03942811,0.00596567,-24.06000000,-6.37000000,0.04000000
4,0,0.10900000,-0.40800000,0.90900000,0.16000000,-0.01000000,-0.21000000,-0.05709130,-0.03943801,0.00575777,-24.12000000,-6.32000000,0.04000000
5,0,0.10900000,-0.40400000,0.91300000,-0.03000000,-0.26000000,-0.14000000,-0.05712131,-0.03969814,0.00561770,-24.11000000,-6.30000000,0.04000000
6,0,0.10800000,-0.40700000,0.90700000,0.01000000,-0.10000000,0.14000000,-0.05711086,-0.03980272,0.00576411,-24.10000000,-6.32000000,0.04000000
7,0,0.10600000,-0.40200000,0.91200000,0.11000000,0.01000000,0.03000000,-0.05699752,-0.03979242,0.00579502,-24.08000000,-6.30000000,0.04000000
8,0,0.10700000,-0.40400000,0.91100000,-0.01000000,-0.03000000,-0.06000000,-0.05700769,-0.03982293,0.00573400,-24.07000000,-6.28000000,0.04000000
9,0,0.10500000,-0.40700000,0.90800000,-0.18000000,-0.08000000,0.19000000,-0.05718924,-0.03990362,0.00592564,-24.08000000,-6.23000000,0.04000000
10,0,0.11200000,-0.40600000,0.90400000,0.04000000,0.01000000,0.02000000,-0.05714843,-0.03989342,0.00594605,-24.09000000,-6.22000000,0.04000000
11,0,0.11500000,-0.40400000,0.90500000,0.04000000,0.02000000,0.10000000,-0.05710914,-0.03987377,0.00604426,-24.09000000,-6.24000000,0.04000000
12,0,0.11100000,-0.40300000,0.90600000,0.17000000,-0.04000000,-0.16000000,-0.05693792,-0.03991406,0.00588311,-24.10000000,-6.24000000,0.04000000
13,0,0.10900000,-0.40700000,0.90800000,0.04000000,-0.27000000,0.02000000,-0.05689379,-0.04021194,0.00590518,-24.10000000,-6.26000000,0.04000000
14,0,0.11000000,-0.40500000,0.90500000,-0.11000000,0.05000000,-0.07000000,-0.05702664,-0.04015156,0.00582064,-24.10000000,-6.26000000,0.04000000
15,0,0.10700000,-0.40400000,0.90600000,-0.07000000,-0.18000000,0.06000000,-0.05715157,-0.04047280,0.00592772,-24.10000000,-6.25000000,0.04000000
