Measurement Count,IMU_MODE,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,ROLL,PITCH,HEADING
1,0,0.32200000,0.01700000,0.94400000,0.21000000,0.02000000,-0.22000000,0.06375223,0.00607164,-0.06678805,1.01000000,-18.67000000,0.00000000
2,0,0.31900000,0.01100000,0.94800000,-0.23000000,0.17000000,0.07000000,0.06351131,0.00624971,-0.06671473,0.60000000,-18.79000000,0.14000000
3,0,0.32200000,0.01100000,0.94600000,0.22000000,-0.04000000,0.03000000,0.06373116,0.00620974,-0.06668475,0.70000000,-18.78000000,0.10000000
4,0,0.32300000,0.00800000,0.95000000,0.03000000,-0.07000000,-0.00000000,0.06376096,0.00614022,-0.06668475,0.70000000,-18.78000000,0.11000000
5,0,0.32000000,0.00900000,0.94700000,-0.20000000,0.15000000,0.28000000,0.06356124,0.00629001,-0.06640514,0.69000000,-18.80000000,0.11000000
6,0,0.32100000,0.00900000,0.94400000,0.62000000,-0.17000000,-0.12000000,0.06417726,0.00612110,-0.06652437,0.71000000,-18.78000000,0.10000000
7,0,0.31900000,0.01300000,0.95100000,-0.27000000,-0.18000000,0.07000000,0.06375295,0.00583823,-0.06641437,0.71000000,-18.76000000,0.10000000
8,0,0.32200000,0.01000000,0.94200000,0.02000000,0.20000000,-0.11000000,0.06379650,0.00627374,-0.06665390,0.67000000,-18.77000000,0.12000000
9,0,0.32200000,0.00600000,0.94700000,0.19000000,0.20000000,-0.12000000,0.06401197,0.00650055,-0.06678998,0.63000000,-18.76000000,0.13000000
10,0,0.32400000,0.00800000,0.94700000,0.04000000,-0.30000000,0.05000000,0.06405705,0.00616241,-0.06673363,0.62000000,-18.76000000,0.13000000
11,0,0.32200000,0.00900000,0.94700000,-0.14000000,-0.29000000,-0.01000000,0.06391865,0.00587572,-0.06674351,0.61000000,-18.76000000,0.13000000
12,0,0.31700000,0.01400000,0.94200000,0.40000000,-0.12000000,0.07000000,0.06432496,0.00575383,-0.06667241,0.59000000,-18.78000000,0.14000000
13,0,0.32300000,0.01300000,0.94700000,-0.06000000,-0.10000000,0.02000000,0.06425676,0.00564017,-0.06664968,0.61000000,-18.78000000,0.13000000
