Measurement Count,IMU_MODE,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,ROLL,PITCH,HEADING
1,0,-0.22500000,-0.44300000,0.87100000,0.20000000,-0.20000000,-0.27000000,0.00020134,-0.00020134,-0.00027181,-26.99000000,12.97000000,0.00000000
2,0,-0.23000000,-0.43900000,0.87100000,0.24000000,0.11000000,-0.05000000,0.00045005,-0.00008735,-0.00032362,-26.80000000,13.12000000,0.04000000
3,0,-0.22300000,-0.44200000,0.86600000,0.09000000,0.10000000,0.10000000,0.00054095,0.00001365,-0.00022262,-27.00000000,13.14000000,-0.00000000
4,0,-0.22300000,-0.44200000,0.86700000,-0.23000000,0.10000000,-0.22000000,0.00031023,0.00011397,-0.00044331,-26.96000000,13.13000000,0.00000000
5,0,-0.22300000,-0.44300000,0.86500000,-0.03000000,-0.29000000,-0.32000000,0.00028014,-0.00017687,-0.00076423,-27.00000000,13.11000000,-0.00000000
6,0,-0.22600000,-0.44100000,0.86700000,0.15000000,0.30000000,0.21000000,0.00043136,0.00012557,-0.00055252,-27.01000000,13.13000000,-0.01000000
7,0,-0.22600000,-0.44100000,0.87200000,0.11000000,-0.21000000,0.17000000,0.00054444,-0.00009030,-0.00037778,-27.01000000,13.13000000,-0.01000000
8,0,-0.23400000,-0.43800000,0.87000000,0.06000000,0.12000000,0.31000000,0.00060484,0.00003051,-0.00006570,-27.01000000,13.14000000,-0.01000000
9,0,-0.22700000,-0.44300000,0.86900000,0.08000000,-0.23000000,0.12000000,0.00068402,-0.00019714,0.00005307,-27.00000000,13.11000000,-0.01000000
10,0,-0.22700000,-0.43700000,0.86800000,0.15000000,-0.01000000,0.29000000,0.00083689,-0.00020733,0.00034861,-26.99000000,13.11000000,-0.00000000
11,0,-0.22900000,-0.44500000,0.86600000,0.01000000,-0.07000000,-0.05000000,0.00084683,-0.00027693,0.00029890,-27.01000000,13.14000000,-0.01000000
12,0,-0.22200000,-0.43700000,0.86600000,-0.01000000,0.01000000,-0.01000000,0.00083652,-0.00026662,0.00028859,-27.01000000,13.14000000,-0.01000000
13,0,-0.22300000,-0.44200000,0.87100000,0.01000000,-0.22000000,0.09000000,0.00084676,-0.00049198,0.00038078,-27.01000000,13.12000000,-0.01000000
14,0,-0.22200000,-0.44000000,0.87000000,0.01000000,0.05000000,0.19000000,0.00085674,-0.00044206,0.00057047,-27.02000000,13.11000000,-0.01000000
15,0,-0.22700000,-0.44100000,0.86900000,0.06000000,0.12000000,0.19000000,0.00091809,-0.00031937,0.00076473,-27.01000000,13.10000000,-0.01000000
16,0,-0.22400000,-0.44200000,0.86900000,-0.09000000,-0.00000000,-0.05000000,0.00082476,-0.00031937,0.00071288,-27.01000000,13.10000000,-0.01000000
17,0,-0.22100000,-0.44200000,0.86700000,0.21000000,0.10000000,-0.16000000,0.00105720,-0.00020868,0.00053579,-27.01000000,13.10000000,-0.01000000
18,0,-0.22800000,-0.44600000,0.86900000,0.05000000,-0.05000000,-0.10000000,0.00111360,-0.00026508,0.00042298,-27.01000000,13.09000000,-0.01000000
19,0,-0.22400000,-0.44500000,0.87000000,0.03000000,0.03000000,-0.11000000,0.00115540,-0.00022328,0.00026970,-27.02000000,13.08000000,-0.01000000
20,0,-0.22300000,-0.44000000,0.86700000,0.08000000,0.05000000,0.18000000,0.00125496,-0.00016106,0.00049370,-27.02000000,13.09000000,-0.01000000
21,0,-0.22600000,-0.44700000,0.86300000,0.11000000,-0.12000000,-0.22000000,0.00137626,-0.00029340,0.00025108,-27.02000000,13.09000000,-0.01000000
22,0,-0.22500000,-0.44000000,0.87100000,0.03000000,-0.18000000,0.04000000,0.00142364,-0.00057764,0.00031425,-27.02000000,13.08000000,-0.01000000
23,0,-0.22700000,-0.44200000,0.87100000,-0.06000000,-0.13000000,0.12000000,0.00133856,-0.00076198,0.00048441,-27.02000000,13.08000000,-0.01000000
24,0,-0.23000000,-0.44400000,0.86600000,-0.03000000,0.06000000,0.04000000,0.00126872,-0.00062230,0.00057753,-27.02000000,13.08000000,-0.01000000
25,0,-0.22600000,-0.44000000,0.86700000,-0.30000000,-0.08000000,-0.15000000,0.00089275,-0.00072256,0.00038954,-27.01000000,13.08000000,-0.01000000
26,0,-0.22700000,-0.44200000,0.87000000,0.19000000,0.13000000,-0.12000000,0.00114038,-0.00055313,0.00023315,-27.01000000,13.08000000,-0.01000000
27,0,-0.21600000,-0.44200000,0.87000000,0.01000000,0.06000000,-0.29000000,0.00115499,-0.00046546,-0.00019058,-27.01000000,13.07000000,-0.01000000
28,0,-0.22900000,-0.44600000,0.86300000,-0.05000000,0.12000000,0.02000000,0.00043346,0.00126621,0.00009803,-27.02000000,13.06000000,-0.01000000
29,0,-0.22600000,-0.43400000,0.87100000,0.30000000,0.23000000,-0.23000000,0.00082266,0.00156460,-0.00020036,-27.02000000,13.07000000,-0.01000000
30,0,-0.22500000,-0.44100000,0.86700000,0.12000000,-0.11000000,0.03000000,0.00102878,0.00137566,-0.00014883,-27.02000000,13.07000000,-0.01000000
31,0,-0.22700000,-0.44400000,0.86400000,0.07000000,0.17000000,0.07000000,0.00114229,0.00165133,-0.00003531,-27.02000000,13.07000000,-0.01000000
32,0,-0.22900000,-0.44400000,0.87100000,-0.10000000,-0.20000000,-0.24000000,0.00101635,0.00139944,-0.00033758,-27.02000000,13.06000000,-0.01000000
33,0,-0.22400000,-0.43800000,0.86700000,-0.08000000,-0.03000000,-0.01000000,0.00092875,0.00136659,-0.00034853,-27.02000000,13.06000000,-0.01000000
34,0,-0.22500000,-0.44200000,0.86800000,-0.18000000,0.20000000,0.11000000,-0.00869804,0.01206303,0.00553451,-27.01000000,13.07000000,-0.01000000
35,0,-0.22700000,-0.44100000,0.86600000,0.15000000,0.09000000,-0.04000000,-0.00853165,0.01216286,0.00549014,-27.02000000,13.06000000,-0.01000000
36,0,-0.22300000,-0.44100000,0.87100000,-0.02000000,-0.14000000,0.08000000,-0.00855224,0.01201875,0.00557249,-27.02000000,13.07000000,-0.01000000
37,0,-0.22700000,-0.43900000,0.86800000,0.07000000,-0.06000000,0.09000000,-0.00848140,0.01195803,0.00566357,-27.01000000,13.07000000,-0.01000000
38,0,-0.22500000,-0.44200000,0.87000000,-0.08000000,0.02000000,-0.05000000,-0.00856186,0.01197814,0.00561328,-27.01000000,13.07000000,-0.01000000
39,0,-0.22500000,-0.44200000,0.86800000,0.43000000,-0.28000000,-0.00000000,-0.00813072,0.01169740,0.00561328,-27.01000000,13.07000000,-0.01000000
40,0,-0.22300000,-0.44900000,0.86800000,-0.11000000,-0.06000000,-0.01000000,-0.01424159,0.00836420,0.00505775,-27.02000000,13.07000000,-0.01000000
41,0,-0.22500000,-0.44500000,0.87100000,-0.14000000,-0.12000000,-0.04000000,-0.01438960,0.00823733,0.00501546,-27.02000000,13.07000000,-0.01000000
42,0,-0.22400000,-0.44300000,0.86700000,-0.18000000,0.00000000,-0.24000000,-0.01457270,0.00823733,0.00477133,-27.02000000,13.07000000,-0.02000000
43,0,-0.22500000,-0.43800000,0.86700000,0.20000000,0.01000000,-0.04000000,-0.01437279,0.00824733,0.00473135,-27.02000000,13.07000000,-0.02000000
44,0,-0.22700000,-0.44500000,0.86800000,0.21000000,-0.02000000,0.26000000,-0.01416333,0.00822738,0.00499067,-27.02000000,13.08000000,-0.02000000
45,0,-0.22600000,-0.44300000,0.86500000,0.01000000,0.06000000,0.02000000,-0.01415328,0.00828766,0.00501076,-27.02000000,13.08000000,-0.02000000
46,0,-0.22400000,-0.44200000,0.86800000,0.04000000,0.10000000,-0.05000000,-0.01189866,0.01392421,0.00219248,-27.02000000,13.07000000,-0.02000000
47,0,-0.22600000,-0.44100000,0.86700000,-0.07000000,-0.19000000,-0.10000000,-0.01198191,0.01369824,0.00207355,-27.01000000,13.07000000,-0.02000000
48,0,-0.22800000,-0.44100000,0.86800000,-0.09000000,0.04000000,0.21000000,-0.01211462,0.01375722,0.00238319,-27.01000000,13.06000000,-0.02000000
49,0,-0.23100000,-0.44200000,0.86700000,0.08000000,0.27000000,0.26000000,-0.01202798,0.01404963,0.00266477,-27.00000000,13.07000000,-0.02000000
50,0,-0.22600000,-0.44600000,0.86700000,0.15000000,-0.23000000,0.31000000,-0.01187436,0.01381408,0.00298225,-27.01000000,13.07000000,-0.02000000
51,0,-0.22700000,-0.44300000,0.86800000,-0.09000000,0.19000000,0.07000000,-0.01197280,0.01402189,0.00305881,-27.00000000,13.07000000,-0.02000000
52,0,-0.22900000,-0.44500000,0.86800000,-0.04000000,0.08000000,0.19000000,-0.01427588,0.01862805,0.01399844,-27.00000000,13.07000000,-0.02000000
53,0,-0.22800000,-0.44000000,0.86800000,0.09000000,0.11000000,-0.05000000,-0.01418147,0.01874343,0.01394599,-27.00000000,13.07000000,-0.02000000
54,0,-0.22900000,-0.44200000,0.86300000,0.06000000,-0.15000000,0.13000000,-0.01412083,0.01859182,0.01407739,-27.00000000,13.07000000,-0.01000000
55,0,-0.22800000,-0.44300000,0.87000000,0.11000000,0.06000000,0.16000000,-0.01401075,0.01865186,0.01423751,-27.00000000,13.07000000,-0.01000000
56,0,-0.22500000,-0.44000000,0.86700000,-0.15000000,0.18000000,0.11000000,-0.01416000,0.01883097,0.01434696,-27.00000000,13.07000000,-0.01000000
57,0,-0.22800000,-0.43800000,0.86900000,0.19000000,-0.08000000,-0.00000000,-0.01396895,0.01875053,0.01434696,-27.00000000,13.07000000,-0.01000000
