Timestamp,X_DEL_VEL,Y_DEL_VEL,Z_DEL_VEL,ROLL,PITCH,HEADING
0.0009737014770507812,8.914470672607422e-06,-9.805917739868164e-06,0.0008923385143280028,-0.64,-0.53,-0.0
0.0018742084503173828,1.0715484619140626e-05,-1.971149444580078e-05,0.0017928454875946044,-0.57,-0.25,-0.0
0.0027565956115722656,1.2480258941650391e-05,-2.6770591735839842e-05,0.0026717031002044677,-0.6,-0.28,-0.0
0.0036399364471435547,1.4246940612792969e-05,-3.648734092712402e-05,0.003558577299118042,-0.56,-0.24,-0.0
0.004539966583251953,1.334691047668457e-05,-4.90877628326416e-05,0.004457707405090332,-0.62,-0.19,-0.0
0.00543522834777832,1.692795753479004e-05,-5.3564071655273434e-05,0.005351178646087647,-0.59,-0.19,-0.0
0.006322383880615234,1.692795753479004e-05,-5.7999849319458e-05,0.00623567271232605,-0.6,-0.18,-0.0
0.0072062015533447266,2.2230863571166994e-05,-6.94894790649414e-05,0.007115955114364624,-0.6,-0.16,-0.0
0.008106470108032227,2.1330595016479495e-05,-7.84921646118164e-05,0.008016223669052124,-0.6,-0.15,-0.0
0.009004354476928711,2.6717901229858402e-05,-9.106254577636718e-05,0.008912312269210815,-0.6,-0.15,-0.0
0.01017308235168457,3.311991691589356e-05,-0.00010112285614013672,0.00982688593864441,-0.6,-0.16,-0.0
0.01111149787902832,3.968882560729981e-05,-0.00011519908905029297,0.01076530146598816,-0.62,-0.16,-0.0
0.012051105499267578,4.1568040847778325e-05,-0.0001236555576324463,0.011703969478607178,-0.62,-0.16,-0.0
0.013009786605834961,4.732012748718262e-05,-0.00013611841201782227,0.012660733222961426,-0.6,-0.15,-0.0
0.013941764831542969,4.45241928100586e-05,-0.00014637017250061036,0.013598303318023681,-0.6,-0.16,-0.0
0.014874696731567383,4.6390056610107425e-05,-0.0001622300148010254,0.01453030228614807,-0.6,-0.16,-0.0
0.015845060348510742,4.833078384399414e-05,-0.00016999292373657225,0.0154977548122406,-0.6,-0.16,-0.0
0.01679539680480957,4.833078384399414e-05,-0.00018044662475585936,0.016449041604995728,-0.6,-0.16,-0.0
0.017707347869873047,4.559493064880371e-05,-0.00018774223327636718,0.017361904621124268,-0.6,-0.16,-0.0
0.01862168312072754,4.2851924896240236e-05,-0.00019414258003234863,0.01827623987197876,-0.59,-0.14,-0.0
0.01966238021850586,4.10146713256836e-05,-0.0002060847282409668,0.019193029403686522,-0.59,-0.14,-0.0
0.020825624465942383,4.683089256286622e-05,-0.0002200436592102051,0.020356273651123045,-0.59,-0.14,-0.0
0.02201533317565918,5.158972740173341e-05,-0.00023313045501708986,0.021541223526000974,-0.59,-0.14,-0.0
0.023272275924682617,5.9131383895874034e-05,-0.00024318599700927737,0.02279816627502441,-0.59,-0.14,-0.0
0.02428913116455078,6.116509437561036e-05,-0.00025437140464782716,0.023809937238693235,-0.59,-0.14,-0.0
0.025242090225219727,6.497693061828614e-05,-0.00025913619995117187,0.02476289629936218,-0.58,-0.15,-0.0
0.02616429328918457,6.497693061828614e-05,-0.00027112483978271486,0.025688788175582882,-0.59,-0.15,-0.0
0.0457460880279541,8.455872535705567e-05,-0.00036903381347656253,0.04529016470909118,-0.59,-0.15,-0.0
0.04702615737915039,8.455872535705567e-05,-0.0003779942989349366,0.04656383371353149,-0.58,-0.15,-0.0
0.04810166358947754,8.563423156738282e-05,-0.00038874936103820804,0.04763288688659668,-0.58,-0.15,-0.0
0.04945111274719238,8.563423156738282e-05,-0.00040224385261535645,0.04898503494262695,-0.58,-0.15,-0.0
0.05053591728210449,8.34646224975586e-05,-0.00041309189796447755,0.050067669868469236,-0.58,-0.14,-0.0
0.05158543586730957,8.241510391235352e-05,-0.00042148804664611815,0.051119287490844725,-0.58,-0.15,-0.0
0.052655696868896484,8.455562591552735e-05,-0.0004396824836730957,0.052191689014434814,-0.58,-0.14,-0.0
0.10737013816833496,0.0002486989498138428,-0.000932112455368042,0.10701555919647217,-0.58,-0.14,-0.0
0.10841631889343262,0.0002518374919891358,-0.0009425742626190186,0.10806487846374511,-0.58,-0.14,-0.0
0.10969948768615723,0.0002556869983673096,-0.0009528396129608155,0.10934548091888427,-0.58,-0.14,-0.0
0.11063003540039062,0.0002538259029388428,-0.0009593534469604493,0.11027230644226073,-0.57,-0.14,-0.0
0.11153936386108398,0.00025928187370300294,-0.0009684467315673828,0.11117890691757201,-0.57,-0.14,-0.0
0.11244845390319824,0.00026382732391357425,-0.0009802649021148683,0.11209163331985472,-0.57,-0.14,-0.0
0.16731905937194824,0.00037356853485107425,-0.0016935827732086181,0.1670719799995422,-0.58,-0.14,-0.0
0.16828513145446777,0.0003812971115112305,-0.0017051756381988525,0.16803708600997921,-0.58,-0.14,-0.0
0.16918325424194336,0.0003848896026611328,-0.0017114624977111815,0.1689352087974548,-0.58,-0.14,-0.0
0.1700751781463623,0.00038756537437438965,-0.001717705965042114,0.16982891654968257,-0.58,-0.14,-0.0
0.17097067832946777,0.0003929383754730225,-0.0017266609668731689,0.17072262573242183,-0.58,-0.14,-0.0
0.17186689376831055,0.00038935351371765137,-0.0017356231212615966,0.17161973738670344,-0.58,-0.14,-0.0
0.22736525535583496,0.0002783567905426025,-0.0021241116523742676,0.2272290956974029,-0.58,-0.13,-0.0
0.22832465171813965,0.0002783567905426025,-0.0021365838050842285,0.2281884920597076,-0.58,-0.13,-0.0
0.22922682762145996,0.0002765524387359619,-0.002143801212310791,0.2290906679630279,-0.58,-0.12,-0.0
