Measurement Count,IMU_MODE,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,ROLL,PITCH,HEADING
1,0,0.75000000,0.01800000,0.65800000,0.00000000,-0.22000000,-0.19000000,0.00000000,-0.00022200,-0.00019173,1.63000000,-48.71000000,0.03000000
2,0,0.75300000,0.02100000,0.65700000,0.10000000,0.03000000,0.01000000,0.00010322,-0.00019103,-0.00018140,1.87000000,-48.76000000,-0.15000000
3,0,0.75000000,0.02600000,0.66200000,0.01000000,-0.07000000,0.10000000,0.00011567,-0.00027816,-0.00005694,1.83000000,-48.72000000,-0.12000000
4,0,0.75000000,0.02300000,0.66500000,-0.10000000,-0.10000000,0.22000000,-0.00000451,-0.00039833,0.00020744,1.90000000,-48.68000000,-0.17000000
5,0,0.75200000,0.02200000,0.65900000,-0.06000000,0.32000000,0.17000000,-0.00007665,-0.00001355,0.00041186,1.93000000,-48.71000000,-0.19000000
6,0,0.75200000,0.02400000,0.66000000,-0.12000000,-0.08000000,0.23000000,-0.00021911,-0.00010852,0.00068491,1.96000000,-48.73000000,-0.22000000
7,0,0.75700000,0.02400000,0.65700000,-0.02000000,0.14000000,-0.06000000,-0.00024341,0.00006152,0.00061203,1.95000000,-48.77000000,-0.21000000
8,0,0.75600000,0.02500000,0.65800000,0.03000000,0.12000000,0.04000000,-0.00020302,0.00022307,0.00066588,1.96000000,-48.78000000,-0.22000000
9,0,0.75400000,0.02400000,0.65500000,0.17000000,-0.19000000,0.01000000,0.00003188,-0.00003946,0.00067970,1.96000000,-48.78000000,-0.22000000
10,0,0.75200000,0.02400000,0.65500000,0.26000000,0.09000000,-0.24000000,0.00035926,0.00007386,0.00037749,1.97000000,-48.78000000,-0.22000000
11,0,0.75500000,0.01700000,0.66000000,-0.06000000,-0.13000000,-0.15000000,0.00029965,-0.00005530,0.00022846,1.96000000,-48.78000000,-0.22000000
12,0,0.75100000,0.02200000,0.65800000,0.15000000,0.32000000,0.02000000,0.00048595,0.00034214,0.00025330,1.97000000,-48.78000000,-0.22000000
13,0,0.75900000,0.02500000,0.66100000,-0.11000000,0.05000000,-0.18000000,0.00032460,0.00041549,-0.00001074,1.98000000,-48.79000000,-0.23000000
14,0,0.74800000,0.01800000,0.66000000,-0.01000000,0.37000000,0.05000000,0.00031088,0.00092294,0.00005784,1.97000000,-48.79000000,-0.23000000
15,0,0.75700000,0.02100000,0.65700000,-0.00000000,0.06000000,0.02000000,0.00031088,0.00100041,0.00008366,1.96000000,-48.80000000,-0.22000000
16,0,0.75300000,0.02200000,0.66200000,-0.24000000,-0.22000000,0.00000000,-0.00002829,0.00068950,0.00008366,1.96000000,-48.79000000,-0.22000000
17,0,0.75300000,0.02000000,0.66100000,-0.05000000,-0.00000000,-0.26000000,-0.00010355,0.00068950,-0.00030770,1.96000000,-48.79000000,-0.22000000
18,0,0.75200000,0.02300000,0.66100000,-0.08000000,-0.18000000,-0.13000000,-0.00027651,0.00030032,-0.00058877,1.97000000,-48.78000000,-0.23000000
19,0,0.75200000,0.02700000,0.65900000,0.02000000,-0.11000000,0.00000000,-0.00025296,0.00017078,-0.00058877,1.98000000,-48.78000000,-0.24000000
20,0,0.75000000,0.02100000,0.66300000,-0.08000000,-0.19000000,-0.12000000,-0.00034021,-0.00003644,-0.00071965,1.98000000,-48.78000000,-0.23000000
21,0,0.75200000,0.02500000,0.65700000,0.22000000,0.02000000,-0.07000000,-0.00010924,-0.00001544,-0.00079314,1.98000000,-48.78000000,-0.23000000
22,0,0.75200000,0.02500000,0.65800000,0.19000000,-0.06000000,-0.01000000,0.00009490,-0.00007990,-0.00080388,1.99000000,-48.77000000,-0.24000000
23,0,0.75000000,0.02600000,0.65900000,-0.02000000,-0.14000000,0.19000000,0.00007235,-0.00023770,-0.00058973,1.97000000,-48.77000000,-0.23000000
24,0,0.75100000,0.02000000,0.65600000,0.14000000,0.08000000,0.17000000,0.00022638,-0.00014969,-0.00040271,1.97000000,-48.77000000,-0.23000000
25,0,0.75100000,0.02000000,0.66000000,0.18000000,0.16000000,0.16000000,0.00042089,0.00002321,-0.00022981,1.96000000,-48.77000000,-0.22000000
26,0,0.74600000,0.02100000,0.65900000,-0.02000000,-0.03000000,-0.06000000,0.00039318,-0.00001835,-0.00031294,1.95000000,-48.76000000,-0.21000000
27,0,0.75300000,0.02600000,0.66200000,-0.14000000,-0.09000000,0.16000000,0.00022263,-0.00012799,-0.00011803,1.95000000,-48.77000000,-0.21000000
28,0,0.74900000,0.02100000,0.66000000,0.22000000,-0.16000000,-0.03000000,0.00291937,-0.00208926,-0.00048577,1.95000000,-48.76000000,-0.21000000
29,0,0.75700000,0.02100000,0.65700000,-0.01000000,0.01000000,0.13000000,0.00290721,-0.00207709,-0.00032762,1.95000000,-48.76000000,-0.21000000
30,0,0.75600000,0.02000000,0.66300000,-0.02000000,0.05000000,-0.03000000,0.00288351,-0.00201784,-0.00036317,1.95000000,-48.76000000,-0.21000000
31,0,0.75100000,0.01900000,0.66100000,0.17000000,-0.13000000,-0.22000000,0.00311009,-0.00219111,-0.00065640,1.95000000,-48.76000000,-0.21000000
32,0,0.75700000,0.02200000,0.65800000,0.14000000,0.13000000,-0.30000000,0.00327907,-0.00203421,-0.00101850,1.95000000,-48.76000000,-0.21000000
33,0,0.75700000,0.02400000,0.65800000,-0.07000000,-0.01000000,-0.15000000,0.00319744,-0.00204587,-0.00119343,1.95000000,-48.75000000,-0.21000000
34,0,0.75000000,0.02400000,0.66300000,-0.20000000,-0.02000000,0.25000000,-0.00767442,-0.00313305,0.01239640,1.96000000,-48.76000000,-0.22000000
35,0,0.75100000,0.01900000,0.65900000,0.02000000,-0.05000000,-0.07000000,-0.00765314,-0.00318626,0.01232191,1.96000000,-48.76000000,-0.22000000
36,0,0.75800000,0.02500000,0.66200000,-0.04000000,-0.10000000,-0.06000000,-0.00769370,-0.00328767,0.01226106,1.96000000,-48.76000000,-0.22000000
