Measurement Count,IMU_MODE,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,ROLL,PITCH,HEADING
1,0,-0.83800000,-0.03600000,0.53300000,0.24000000,-0.26000000,-0.22000000,0.00024109,-0.00026119,-0.00022100,-3.89000000,56.19000000,0.02000000
2,0,-0.84500000,-0.03500000,0.53700000,-0.08000000,0.05000000,0.12000000,0.00015981,-0.00021039,-0.00009908,-4.03000000,57.48000000,-0.11000000
3,0,-0.84100000,-0.04000000,0.53700000,-0.01000000,0.03000000,0.07000000,0.00014997,-0.00018085,-0.00003017,-3.98000000,57.45000000,-0.06000000
4,0,-0.84500000,-0.03400000,0.53400000,0.05000000,-0.19000000,-0.01000000,0.00019903,-0.00036728,-0.00003998,-3.83000000,57.50000000,0.07000000
5,0,-0.84200000,-0.04100000,0.53800000,-0.15000000,-0.13000000,0.13000000,0.00004963,-0.00049675,0.00008950,-3.82000000,57.47000000,0.08000000
6,0,-0.84300000,-0.02900000,0.53400000,-0.22000000,-0.25000000,0.16000000,-0.00016964,-0.00074593,0.00024897,-3.74000000,57.48000000,0.14000000
7,0,-0.84400000,-0.03500000,0.53800000,0.02000000,-0.15000000,-0.02000000,-0.00014908,-0.00090012,0.00022841,-3.72000000,57.50000000,0.16000000
8,0,-0.84200000,-0.03600000,0.53100000,0.15000000,-0.28000000,-0.05000000,0.00000346,-0.00118486,0.00017756,-3.73000000,57.50000000,0.15000000
9,0,-0.84700000,-0.03000000,0.53300000,0.24000000,-0.08000000,0.02000000,0.00025417,-0.00126843,0.00019846,-3.74000000,57.50000000,0.15000000
10,0,-0.84400000,-0.03500000,0.54000000,0.29000000,0.15000000,-0.05000000,0.00055061,-0.00111510,0.00014735,-3.73000000,57.50000000,0.15000000
11,0,-0.83800000,-0.04200000,0.53500000,0.04000000,-0.04000000,0.04000000,0.00059023,-0.00115472,0.00018697,-3.74000000,57.51000000,0.14000000
12,0,-0.84400000,-0.03800000,0.53700000,0.03000000,0.34000000,0.17000000,0.00062074,-0.00080896,0.00035985,-3.75000000,57.50000000,0.13000000
