Measurement Count,IMU_MODE,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,ROLL,PITCH,HEADING
1,0,0.17200000,-0.62400000,0.76400000,0.16000000,0.08000000,-0.03000000,0.04851766,0.02425883,-0.00909706,0.00000000,0.00000000,-0.00000000
2,0,0.16500000,-0.62500000,0.76400000,-0.05000000,0.04000000,0.06000000,0.04846603,0.02430014,-0.00903510,-38.95000000,-9.63000000,0.03000000
3,0,0.17100000,-0.62500000,0.76200000,0.12000000,0.16000000,-0.06000000,0.04858589,0.02445995,-0.00909503,-39.03000000,-9.65000000,0.04000000
4,0,0.16600000,-0.61900000,0.76600000,0.05000000,-0.07000000,-0.17000000,0.04863568,0.02439025,-0.00926431,-39.01000000,-9.59000000,0.04000000
5,0,0.17000000,-0.62100000,0.76500000,0.02000000,-0.07000000,0.07000000,0.04865604,0.02431898,-0.00919304,-39.04000000,-9.62000000,0.05000000
6,0,0.17100000,-0.61900000,0.76700000,-0.10000000,0.07000000,-0.00000000,0.04855456,0.02439002,-0.00919304,-39.03000000,-9.64000000,0.04000000
7,0,0.17400000,-0.62400000,0.76300000,-0.16000000,0.09000000,0.02000000,0.04839417,0.02448024,-0.00917299,-39.03000000,-9.68000000,0.04000000
8,0,0.17000000,-0.62600000,0.76800000,0.06000000,0.16000000,-0.04000000,0.04845450,0.02464112,-0.00921321,-39.04000000,-9.68000000,0.05000000
9,0,0.17100000,-0.62400000,0.76700000,0.11000000,0.16000000,0.11000000,0.04856537,0.02480238,-0.00910234,-39.02000000,-9.68000000,0.04000000
10,0,0.16800000,-0.61900000,0.76600000,-0.05000000,-0.35000000,-0.03000000,0.04851510,0.02445045,-0.00913250,-39.02000000,-9.68000000,0.04000000
11,0,0.17200000,-0.62400000,0.75900000,-0.24000000,-0.08000000,-0.21000000,0.04826719,0.02436782,-0.00934942,-39.04000000,-9.69000000,0.05000000
12,0,0.16800000,-0.62000000,0.76200000,-0.23000000,-0.19000000,0.22000000,0.04799189,0.02414039,-0.00908609,-39.04000000,-9.71000000,0.05000000
13,0,0.16200000,-0.62100000,0.76400000,0.01000000,0.01000000,-0.22000000,0.04800328,0.02415178,-0.00933667,-39.04000000,-9.70000000,0.05000000
14,0,0.16900000,-0.62000000,0.76500000,-0.03000000,-0.28000000,0.01000000,0.04797055,0.02384634,-0.00932577,-39.04000000,-9.70000000,0.05000000
15,0,0.16700000,-0.62400000,0.76500000,-0.11000000,0.02000000,0.05000000,0.04785473,0.02386740,-0.00927312,-39.05000000,-9.69000000,0.05000000
16,0,0.17100000,-0.62000000,0.76100000,-0.09000000,-0.10000000,0.25000000,0.04776001,0.02376215,-0.00901000,-39.06000000,-9.69000000,0.05000000
17,0,0.16600000,-0.62700000,0.76500000,-0.04000000,0.01000000,-0.08000000,0.04771299,0.02377390,-0.00910402,-39.06000000,-9.70000000,0.05000000
18,0,0.16600000,-0.62400000,0.76200000,0.21000000,0.04000000,0.06000000,0.04793422,0.02381604,-0.00904081,-39.06000000,-9.69000000,0.05000000
19,0,0.16800000,-0.62200000,0.76400000,0.19000000,-0.02000000,0.09000000,0.04829446,0.02377812,-0.00887017,-39.05000000,-9.69000000,0.05000000
20,0,0.16400000,-0.62200000,0.76400000,-0.01000000,-0.16000000,-0.20000000,0.04827868,0.02352573,-0.00918567,-39.05000000,-9.69000000,0.05000000
21,0,0.16800000,-0.62700000,0.76800000,0.11000000,0.04000000,0.06000000,0.04849139,0.02360307,-0.00906965,-39.05000000,-9.69000000,0.05000000
22,0,0.17300000,-0.61800000,0.76500000,0.05000000,-0.04000000,-0.12000000,0.04855448,0.02355260,-0.00922106,-39.05000000,-9.69000000,0.05000000
23,0,0.17200000,-0.62200000,0.76500000,-0.18000000,0.23000000,0.07000000,0.04832336,0.02384792,-0.00913119,-39.05000000,-9.71000000,0.05000000
24,0,0.17000000,-0.62100000,0.76800000,-0.19000000,0.08000000,0.18000000,0.04811116,0.02393727,-0.00893015,-39.05000000,-9.71000000,0.05000000
25,0,0.16500000,-0.61900000,0.76500000,-0.27000000,0.01000000,0.01000000,0.04781379,0.02394828,-0.00891914,-39.06000000,-9.71000000,0.05000000
26,0,0.17000000,-0.62300000,0.76800000,0.31000000,0.07000000,0.03000000,0.04815935,0.02402631,-0.00888570,-39.06000000,-9.71000000,0.05000000
27,0,0.16500000,-0.61700000,0.76200000,-0.15000000,-0.15000000,0.01000000,0.04799454,0.02386150,-0.00887471,-39.06000000,-9.71000000,0.05000000
28,0,0.16500000,-0.62400000,0.76400000,-0.01000000,-0.20000000,0.08000000,0.04798334,0.02363741,-0.00878508,-39.06000000,-9.71000000,0.05000000
29,0,0.16100000,-0.62100000,0.76400000,0.17000000,-0.03000000,0.28000000,0.05037712,0.02321498,-0.00484237,-39.06000000,-9.71000000,0.05000000
30,0,0.16300000,-0.61900000,0.76500000,-0.14000000,0.34000000,-0.03000000,0.05021362,0.02361206,-0.00487740,-39.06000000,-9.70000000,0.05000000
31,0,0.16600000,-0.62300000,0.76400000,-0.13000000,0.26000000,-0.06000000,0.05005857,0.02392215,-0.00494896,-39.07000000,-9.69000000,0.05000000
32,0,0.16700000,-0.61800000,0.76500000,-0.05000000,-0.21000000,0.04000000,0.05000205,0.02368476,-0.00490374,-39.07000000,-9.69000000,0.05000000
33,0,0.16800000,-0.62200000,0.76500000,-0.16000000,-0.13000000,-0.03000000,0.04980749,0.02352667,-0.00494023,-39.07000000,-9.69000000,0.05000000
34,0,0.17100000,-0.62500000,0.76400000,0.08000000,0.09000000,-0.24000000,0.04989348,0.02362341,-0.00519820,-39.07000000,-9.69000000,0.05000000
35,0,0.16700000,-0.62000000,0.76600000,-0.11000000,-0.03000000,-0.26000000,0.04386457,0.02197917,-0.01944834,-39.07000000,-9.69000000,0.05000000
36,0,0.16700000,-0.62700000,0.76500000,0.32000000,-0.11000000,0.04000000,0.04420381,0.02186255,-0.01940594,-39.07000000,-9.69000000,0.05000000
37,0,0.16800000,-0.62000000,0.76300000,0.04000000,0.35000000,0.16000000,0.04424408,0.02221498,-0.01924483,-39.07000000,-9.69000000,0.05000000
38,0,0.16500000,-0.62300000,0.76000000,0.02000000,-0.08000000,0.21000000,0.04426408,0.02213500,-0.01903487,-39.07000000,-9.69000000,0.05000000
39,0,0.16700000,-0.62100000,0.76500000,-0.05000000,-0.14000000,0.05000000,0.04421279,0.02199139,-0.01898358,-39.08000000,-9.69000000,0.05000000
40,0,0.16500000,-0.62100000,0.76600000,-0.11000000,0.18000000,0.23000000,0.04410211,0.02217251,-0.01875215,-39.07000000,-9.69000000,0.05000000
41,0,0.17100000,-0.61600000,0.76400000,0.04000000,-0.33000000,-0.18000000,0.04635383,0.00359579,-0.02888491,-39.07000000,-9.69000000,0.05000000
42,0,0.16900000,-0.62200000,0.76600000,0.08000000,0.13000000,-0.07000000,0.04643746,0.00373168,-0.02895808,-39.08000000,-9.69000000,0.05000000
43,0,0.16900000,-0.62100000,0.76700000,-0.02000000,0.00000000,-0.12000000,0.04641684,0.00373168,-0.02908178,-39.08000000,-9.69000000,0.05000000
44,0,0.16600000,-0.62200000,0.76800000,-0.12000000,-0.03000000,0.18000000,0.04629226,0.00370053,-0.02889491,-39.08000000,-9.69000000,0.05000000
45,0,0.16400000,-0.62000000,0.76800000,-0.18000000,-0.23000000,0.07000000,0.04611311,0.00347162,-0.02882524,-39.08000000,-9.68000000,0.05000000
46,0,0.16600000,-0.61800000,0.76800000,0.02000000,0.21000000,0.19000000,0.04613330,0.00368363,-0.02863342,-39.08000000,-9.68000000,0.05000000
47,0,0.16600000,-0.62700000,0.76300000,0.07000000,-0.21000000,0.03000000,0.05002215,-0.00798291,-0.02696677,-39.08000000,-9.68000000,0.05000000
48,0,0.16900000,-0.62200000,0.76800000,-0.03000000,0.16000000,-0.00000000,0.04998890,-0.00780555,-0.02696677,-39.08000000,-9.68000000,0.06000000
49,0,0.16300000,-0.62200000,0.76200000,-0.08000000,-0.20000000,0.02000000,0.04990765,-0.00800865,-0.02694646,-39.08000000,-9.68000000,0.06000000
50,0,0.16200000,-0.62200000,0.76600000,-0.25000000,-0.03000000,-0.07000000,0.04965210,-0.00803932,-0.02701801,-39.09000000,-9.68000000,0.06000000
51,0,0.16400000,-0.62200000,0.76400000,-0.22000000,-0.09000000,-0.19000000,0.04943273,-0.00812907,-0.02720748,-39.09000000,-9.68000000,0.06000000
52,0,0.17200000,-0.62200000,0.76500000,-0.10000000,0.03000000,-0.03000000,0.04933341,-0.00809927,-0.02723727,-39.09000000,-9.68000000,0.06000000
53,0,0.17000000,-0.62300000,0.77000000,-0.14000000,-0.08000000,0.02000000,0.04158826,-0.01252507,-0.02613082,-39.09000000,-9.68000000,0.06000000
54,0,0.16200000,-0.62400000,0.76500000,0.05000000,-0.19000000,0.14000000,0.04164037,-0.01272310,-0.02598491,-39.09000000,-9.68000000,0.06000000
55,0,0.16200000,-0.62200000,0.76700000,0.31000000,-0.08000000,-0.25000000,0.04194883,-0.01280270,-0.02623366,-39.09000000,-9.68000000,0.06000000
56,0,0.16700000,-0.62200000,0.76800000,0.04000000,0.02000000,-0.20000000,0.04198897,-0.01278263,-0.02643434,-39.09000000,-9.68000000,0.06000000
57,0,0.16200000,-0.62500000,0.76600000,-0.27000000,0.01000000,-0.07000000,0.04171922,-0.01277264,-0.02650427,-39.09000000,-9.68000000,0.06000000
58,0,0.16800000,-0.62300000,0.76400000,-0.09000000,-0.12000000,-0.11000000,0.04162984,-0.01289182,-0.02661352,-39.09000000,-9.68000000,0.06000000
59,0,0.16900000,-0.62500000,0.76500000,0.36000000,0.19000000,0.25000000,0.06197114,-0.00215612,-0.01248761,-39.09000000,-9.68000000,0.06000000
60,0,0.16600000,-0.62100000,0.76500000,-0.08000000,0.14000000,0.05000000,0.06188775,-0.00201018,-0.01243548,-39.09000000,-9.68000000,0.06000000
61,0,0.16900000,-0.62200000,0.77200000,0.46000000,0.16000000,-0.00000000,0.06235599,-0.00184731,-0.01243548,-39.09000000,-9.68000000,0.06000000
62,0,0.17000000,-0.61800000,0.76500000,-0.10000000,0.20000000,0.16000000,0.06225620,-0.00164774,-0.01227582,-39.09000000,-9.68000000,0.06000000
63,0,0.16800000,-0.62500000,0.76300000,0.09000000,-0.15000000,0.02000000,0.06234521,-0.00179610,-0.01225604,-39.09000000,-9.68000000,0.06000000
64,0,0.17000000,-0.62100000,0.76400000,0.18000000,0.02000000,0.12000000,0.06252320,-0.00177632,-0.01213738,-39.09000000,-9.68000000,0.06000000
65,0,0.17200000,-0.62200000,0.76500000,0.13000000,-0.16000000,-0.17000000,0.06974327,-0.01066256,-0.02157901,-39.09000000,-9.68000000,0.06000000
66,0,0.16500000,-0.62100000,0.76200000,-0.04000000,-0.09000000,-0.06000000,0.06970144,-0.01075668,-0.02164176,-39.09000000,-9.68000000,0.06000000
67,0,0.16500000,-0.62300000,0.76000000,0.02000000,-0.03000000,-0.25000000,0.06972166,-0.01078701,-0.02189451,-39.10000000,-9.68000000,0.06000000
68,0,0.16300000,-0.61800000,0.76400000,0.01000000,0.33000000,0.13000000,0.06973166,-0.01045708,-0.02176453,-39.10000000,-9.68000000,0.06000000
