Measurement Count,IMU_MODE,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,ROLL,PITCH,HEADING
1,0,-0.01000000,0.17300000,0.99200000,-0.25000000,0.14000000,-0.04000000,-0.00024822,0.00013900,-0.00003972,9.71000000,0.47000000,0.00000000
2,0,-0.00700000,0.17300000,0.98400000,-0.17000000,0.04000000,0.00000000,-0.00042090,0.00017963,-0.00003972,9.87000000,0.50000000,0.00000000
3,0,-0.01000000,0.17200000,0.98700000,-0.16000000,0.13000000,0.03000000,-0.00057987,0.00030880,-0.00000991,9.86000000,0.47000000,0.00000000
4,0,-0.01200000,0.17000000,0.98700000,-0.33000000,-0.03000000,0.04000000,-0.00090697,0.00027906,0.00002974,9.85000000,0.49000000,0.00000000
5,0,-0.00900000,0.17300000,0.98500000,-0.20000000,0.27000000,-0.13000000,-0.00114713,0.00060327,-0.00012636,9.86000000,0.50000000,0.00000000
6,0,-0.00900000,0.17100000,0.98500000,-0.29000000,0.29000000,0.10000000,-0.00149370,0.00094984,-0.00000685,9.85000000,0.50000000,0.00000000
7,0,-0.00900000,0.17100000,0.98700000,-0.17000000,-0.27000000,0.01000000,-0.00169418,0.00063142,0.00000494,9.86000000,0.50000000,0.00000000
8,0,-0.00600000,0.17200000,0.98700000,-0.11000000,-0.12000000,0.02000000,-0.00182792,0.00048553,0.00002925,9.86000000,0.49000000,0.00000000
9,0,-0.00700000,0.17600000,0.99300000,-0.09000000,0.08000000,0.16000000,-0.00193481,0.00058054,0.00021928,9.85000000,0.49000000,0.00000000
10,0,-0.01300000,0.17300000,0.98600000,-0.35000000,0.07000000,0.13000000,-0.00244053,0.00068169,0.00040712,9.84000000,0.51000000,0.00000000
11,0,-0.01000000,0.17100000,0.98900000,-0.34000000,-0.04000000,0.05000000,-0.00277422,0.00064243,0.00045619,9.84000000,0.51000000,0.00000000
12,0,-0.01400000,0.17200000,0.98500000,-0.21000000,0.17000000,0.03000000,-0.00303865,0.00085649,0.00049397,9.85000000,0.53000000,0.00000000
13,0,-0.00600000,0.16500000,0.98700000,-0.04000000,0.06000000,-0.11000000,-0.00308648,0.00092824,0.00036243,9.84000000,0.53000000,0.00000000
14,0,-0.01200000,0.17100000,0.98800000,-0.31000000,0.11000000,0.04000000,-0.00357978,0.00110328,0.00042609,9.84000000,0.53000000,0.01000000
15,0,-0.00600000,0.17300000,0.98600000,-0.08000000,0.05000000,-0.13000000,-0.00368256,0.00116752,0.00025907,9.84000000,0.52000000,0.00000000
16,0,-0.00800000,0.17100000,0.98900000,-0.19000000,0.21000000,-0.23000000,-0.00392335,0.00143365,-0.00003240,9.84000000,0.52000000,0.01000000
17,0,-0.01000000,0.17100000,0.98700000,-0.34000000,0.13000000,0.05000000,-0.00435285,0.00159787,0.00003076,9.84000000,0.52000000,0.00000000
18,0,-0.01000000,0.17300000,0.99100000,-0.59000000,0.01000000,-0.02000000,-0.00528244,0.00161363,-0.00000075,9.82000000,0.52000000,0.00000000
19,0,-0.00700000,0.16900000,0.98800000,-0.70000000,0.16000000,0.02000000,-0.00624198,0.00183295,0.00002666,9.81000000,0.53000000,0.01000000
20,0,-0.01000000,0.16900000,0.98900000,-0.45000000,-0.02000000,0.28000000,-0.00695174,0.00180140,0.00046829,9.81000000,0.53000000,0.01000000
21,0,-0.00900000,0.16700000,0.98800000,-0.34000000,-0.12000000,-0.15000000,-0.00758908,0.00157646,0.00018711,9.81000000,0.53000000,0.01000000
22,0,-0.00900000,0.17000000,0.98600000,-0.52000000,-0.03000000,-0.13000000,-0.00822998,0.00153948,0.00002688,9.80000000,0.53000000,0.01000000
23,0,-0.00800000,0.16800000,0.98700000,0.10000000,0.25000000,0.02000000,-0.00811760,0.00182043,0.00004936,9.80000000,0.53000000,0.01000000
24,0,-0.01000000,0.16500000,0.98700000,-0.08000000,0.04000000,0.15000000,-0.00821160,0.00186743,0.00022561,9.79000000,0.54000000,0.00000000
25,0,-0.01100000,0.16800000,0.99100000,-0.12000000,-0.09000000,0.10000000,-0.00833827,0.00177243,0.00033117,9.79000000,0.54000000,0.00000000
26,0,-0.00800000,0.16700000,0.98400000,-0.09000000,0.24000000,0.05000000,-0.00843377,0.00202708,0.00038422,9.78000000,0.54000000,0.01000000
27,0,-0.00600000,0.17100000,0.98600000,-0.29000000,-0.10000000,0.05000000,-0.00876201,0.00191389,0.00044082,9.77000000,0.53000000,0.01000000
28,0,-0.00900000,0.16800000,0.99400000,-0.22000000,-0.09000000,0.04000000,-0.01169704,0.00071320,0.00097446,9.77000000,0.53000000,0.01000000
